pctid,x,y,z,wconfid
35,0.984,0.129,-0.160,1
35,1.012,-0.039,-0.137,1
35,0.938,-0.039,-0.113,1
40,0.996,-0.004,-0.137,1
40,0.992,-0.055,-0.094,1
40,0.973,-0.043,-0.070,1
40,1.008,-0.125,-0.066,1
40,0.930,-0.070,-0.191,1
40,0.980,0.035,-0.133,1
40,1.039,-0.164,-0.070,1
40,1.000,-0.059,-0.211,1
40,0.996,0.031,-0.066,1
40,0.984,0.074,-0.094,1
40,1.043,0.004,-0.230,1
40,1.016,-0.039,-0.082,1
40,0.945,-0.035,-0.070,1
40,0.957,0.121,-0.184,1
40,0.977,0.027,-0.055,1
40,1.004,0.012,-0.129,1
40,1.039,0.000,-0.195,1
40,1.004,0.074,-0.090,1
40,0.980,-0.223,-0.051,1
40,1.012,-0.070,-0.227,1
40,1.020,0.055,-0.141,1
40,1.012,0.082,-0.047,1
40,0.918,0.109,-0.211,1
40,0.973,-0.027,-0.145,1
45,1.047,-0.117,-0.090,1
45,0.977,0.074,-0.227,1
45,1.023,-0.398,0.027,1
45,0.973,0.016,-0.105,1
45,0.973,-0.023,-0.051,1
45,0.969,0.016,-0.098,1
45,1.031,-0.059,-0.086,1
45,0.961,0.094,-0.078,1
45,0.977,-0.105,-0.074,1
45,1.031,-0.090,-0.082,1
45,0.992,0.016,-0.027,1
45,1.000,0.125,-0.098,1
45,0.988,-0.137,-0.039,1
45,1.000,0.156,-0.273,1
45,1.035,-0.012,-0.059,1
45,0.883,-0.016,-0.109,1
45,0.930,-0.094,-0.098,1
45,0.984,-0.094,-0.094,1
45,1.047,0.078,-0.094,1
45,1.043,0.055,-0.043,1
45,1.012,0.164,-0.199,1
45,1.020,-0.008,0.008,1
45,0.883,-0.016,-0.250,1
50,0.973,0.258,-0.215,1
50,0.996,0.242,-0.172,1
50,1.012,-0.430,-0.055,1
50,0.930,0.027,-0.039,1
50,0.902,-0.113,-0.324,1
50,0.988,0.043,-0.133,1
50,0.996,-0.027,-0.031,1
50,1.062,-0.039,-0.199,1
50,0.996,-0.090,-0.297,1
50,0.941,-0.066,-0.129,1
50,1.031,0.133,0.012,1
50,0.906,0.320,-0.164,1
50,0.977,-0.113,-0.152,1
50,0.879,-0.633,0.074,1
50,1.031,-0.066,-0.035,1
50,0.969,-0.051,-0.258,1
50,0.941,0.012,-0.035,1
50,0.918,-0.023,0.012,1
50,1.000,0.152,-0.254,1
50,0.996,0.043,-0.066,1
50,0.973,0.066,0.012,1
50,1.109,0.199,-0.289,1
50,0.938,0.000,-0.121,1
50,1.020,-0.066,0.141,1
55,0.875,-0.660,0.059,1
55,1.113,0.039,-0.164,1
55,1.055,0.371,0.145,1
55,0.941,-0.781,0.004,1
55,0.887,-0.031,-0.078,1
55,0.789,0.301,-0.406,1
55,0.914,0.250,-0.379,1
55,0.988,0.148,-0.125,1
55,1.059,0.098,-0.187,1
55,1.016,0.281,0.148,1
55,1.039,0.008,0.094,1
55,0.871,-0.879,0.055,1
55,0.805,-0.805,-0.094,1
55,1.133,0.004,-0.145,1
55,1.172,-0.027,-0.129,1
55,1.070,-0.074,-0.172,1
55,0.828,-0.152,-0.172,1
55,1.363,0.250,-0.547,1
55,0.980,-0.078,-0.355,1
55,1.082,-0.086,-0.348,1
55,0.867,0.297,-0.063,1
55,0.867,-0.094,-0.031,1
55,1.125,0.234,0.176,1
60,1.324,0.566,-0.180,1
60,1.281,0.656,-0.230,1
60,1.137,-0.348,-0.008,1
60,0.859,0.305,-0.113,1
60,0.844,-0.187,-0.059,1
60,0.945,0.008,-0.105,1
60,0.965,0.367,-0.516,1
60,1.020,0.406,0.215,1
60,0.867,0.082,-0.309,1
60,1.125,-1.023,0.258,1
60,1.004,0.430,-0.359,1
60,0.699,-0.879,0.094,1
60,0.816,0.227,-0.367,1
60,1.008,0.148,0.176,1
60,1.172,-0.172,-0.574,1
60,0.973,0.422,0.238,1
60,1.059,0.406,-0.512,1
60,1.023,0.176,0.172,1
60,0.992,-0.012,-0.336,1
60,1.004,-0.031,-0.184,1
60,0.855,0.418,-0.449,1
60,0.965,-0.004,0.074,1
60,1.000,0.387,-0.543,1
65,0.914,0.223,-0.098,1
65,1.051,-0.164,-0.145,1
65,0.965,-0.250,-0.211,1
65,1.180,-0.117,0.160,1
65,0.965,-0.074,-0.141,1
65,0.863,0.344,-0.273,1
65,0.848,0.336,-0.449,1
65,1.082,-0.211,-0.316,1
65,0.473,-1.023,-0.070,1
65,0.969,0.113,-0.258,1
65,0.902,-0.277,-0.250,1
65,0.914,0.605,0.438,1
65,0.891,0.348,-0.484,1
65,1.324,-0.008,0.098,1
65,1.031,0.047,-0.223,1
65,0.863,-0.133,-0.156,1
65,1.172,0.570,0.340,1
65,0.922,0.359,-0.477,1
65,1.266,-0.113,0.137,1
65,1.082,0.082,-0.172,1
65,0.781,-0.219,-0.117,1
65,1.004,0.641,0.387,1
65,0.816,0.258,-0.438,1
65,1.293,-0.172,-0.051,1
70,0.688,0.094,-0.023,1
70,0.578,-0.102,-0.059,1
70,0.563,0.168,-0.020,1
70,1.184,0.152,-0.602,1
70,0.949,-0.070,-0.184,1
70,1.027,-2.402,-0.469,1
70,0.742,0.285,-0.238,1
70,0.719,-0.168,-0.012,1
70,0.781,0.289,0.086,1
70,1.090,0.078,-0.332,1
70,1.367,-0.121,-0.578,1
70,1.078,0.449,-0.043,1
70,1.293,-0.016,-0.633,1
70,1.402,-2.633,-0.406,1
70,0.859,0.332,-0.203,1
70,0.742,-0.051,0.230,1
70,0.648,0.844,0.605,1
70,0.766,0.570,-0.605,1
70,1.102,0.121,0.023,1
70,0.855,-0.063,-0.734,1
70,1.500,-3.012,-0.367,1
70,0.809,0.281,-0.543,1
70,1.258,0.000,-0.324,1
75,1.059,-2.363,-0.258,1
75,0.488,-0.121,-0.598,1
75,1.754,-0.141,-0.102,1
75,0.266,0.578,0.520,1
75,0.109,-0.598,-0.500,1
75,1.590,-0.461,-0.180,1
75,1.219,-0.254,-0.516,1
75,0.934,0.137,-0.699,1
75,1.246,-0.035,-0.852,1
75,1.238,-0.059,-0.840,1
75,-0.297,0.637,0.398,1
75,2.113,-0.523,0.012,1
75,0.426,0.473,0.285,1
75,2.758,0.523,1.527,1
75,-1.488,-1.375,-0.258,1
75,0.590,-4.352,0.598,1
75,0.711,-0.187,0.168,1
75,0.492,-0.383,0.270,1
75,0.875,-0.125,0.098,1
75,0.867,0.203,-0.781,1
75,1.273,0.137,-0.738,1
75,2.027,1.031,-0.289,1
75,1.191,0.469,-0.109,1
75,0.855,0.340,-0.273,1
80,0.199,-1.176,-0.766,1
80,2.477,0.648,-0.582,1
80,1.629,0.066,-0.855,1
80,1.738,0.258,-0.434,1
80,2.270,1.449,-1.531,1
80,2.406,1.027,-2.020,1
80,0.906,0.125,0.215,1
80,0.020,-0.676,-1.199,1
80,2.301,0.141,-1.016,1
80,-0.121,0.969,0.332,1
80,0.680,0.383,-0.996,1
80,-1.578,0.125,-0.234,1
80,1.090,-0.223,0.496,1
80,-0.156,-0.305,0.180,1
80,1.578,0.148,-0.457,1
80,1.625,0.176,-0.680,1
80,2.062,-0.398,-0.211,1
80,1.937,2.391,-0.633,1
80,2.703,1.070,1.191,1
80,3.117,1.641,-0.855,1
80,1.559,-0.766,-0.785,1
80,-1.301,-1.074,1.934,1
80,0.336,0.523,-0.086,1
85,1.156,0.039,-0.477,1
85,0.766,-0.145,0.875,1
85,0.727,-3.605,-0.324,1
85,-0.023,-0.926,-1.766,1
85,0.457,-1.969,-0.578,1
85,-1.434,2.441,0.199,1
85,2.285,-0.414,-0.164,1
85,2.496,1.195,-0.223,1
85,-0.266,1.645,1.340,1
85,0.586,0.641,-0.191,1
85,1.367,0.539,0.156,1
85,1.336,0.863,-0.270,1
85,0.867,-0.117,-0.859,1
85,4.063,3.270,0.430,1
85,0.816,-0.070,-1.195,1
85,2.113,-0.121,-0.328,1
85,2.242,-0.340,-0.371,1
85,0.359,-1.508,0.668,1
85,0.836,3.172,-1.273,1
85,1.176,-5.484,0.750,1
85,1.375,-0.652,-1.422,1
85,1.883,2.664,-0.008,1
85,1.352,0.105,-0.117,1
85,2.516,-2.449,0.059,1
90,3.758,0.039,1.637,1
90,0.230,-0.043,-0.250,1
90,0.836,1.070,-1.902,1
90,-1.535,-0.094,3.242,1
90,3.195,0.312,-0.781,1
90,-3.477,-1.586,2.375,1
90,0.125,-5.332,-0.605,1
90,-0.047,2.574,0.273,1
90,2.414,-3.176,-2.359,1
90,-2.676,-0.414,-1.352,1
90,0.281,3.312,0.176,1
90,-0.262,-1.383,0.906,1
90,3.129,1.566,0.367,1
90,1.941,-0.891,-1.227,1
90,0.121,-3.973,1.664,1
90,0.234,-1.469,-0.555,1
90,2.687,-1.117,0.793,1
90,0.344,0.312,0.008,1
90,4.051,-0.441,-0.242,1
90,0.891,-0.594,0.363,1
90,1.652,3.262,0.203,1
90,2.281,0.297,-1.855,1
90,-1.492,0.000,0.199,1
95,5.113,3.145,-1.445,1
95,-1.430,3.262,0.730,1
95,6.449,0.637,-0.242,1
95,0.512,-3.082,1.652,1
95,2.676,-6.922,-2.301,1
95,-1.062,3.434,-0.680,1
95,3.422,0.625,-0.031,1
95,-0.129,3.434,1.477,1
95,3.602,-1.078,-0.191,1
95,0.547,0.012,-1.738,1
95,5.160,1.387,-2.969,1
95,-1.707,-2.734,-0.109,1
95,3.129,-7.051,2.574,1
95,-0.285,0.754,-0.980,1
95,-3.809,-1.430,-2.797,1
95,0.285,-1.520,0.824,1
95,-0.008,0.391,-0.844,1
95,3.832,-3.598,2.699,1
95,-2.258,-2.422,0.656,1
95,-0.379,1.086,-0.047,1
95,3.594,3.566,-1.109,1
95,-1.324,-0.434,0.086,1
95,1.742,-0.082,-0.828,1
95,2.137,0.039,-0.930,1
100,2.195,1.133,-0.578,1
100,1.020,-7.043,0.742,1
100,1.629,0.734,-0.910,1
100,-3.203,2.270,2.914,1
100,2.230,-0.637,0.906,1
100,-0.082,-0.250,0.453,1
100,-2.562,2.910,-0.355,1
100,0.359,-1.309,0.852,1
100,3.336,0.184,-2.285,1
100,2.059,2.090,0.262,1
100,2.332,1.707,-1.211,1
100,-0.281,2.016,1.668,1
100,0.633,-2.340,-0.531,1
100,4.867,-2.387,0.840,1
100,2.332,-4.102,2.637,1
100,0.227,2.727,-0.852,1
100,0.531,-0.223,-0.469,1
100,-0.883,-1.816,1.887,1
100,-1.883,2.641,0.254,1
100,0.105,5.664,-0.680,1
100,-0.105,1.410,-1.379,1
100,2.594,0.223,-0.910,1
100,1.707,-1.020,1.004,1
20,1.000,-0.016,-0.113,2
20,0.973,-0.035,-0.148,2
20,1.008,0.023,-0.102,2
20,0.977,0.055,-0.137,2
20,1.035,0.078,-0.094,2
20,0.980,-0.004,-0.133,2
20,0.984,0.000,-0.121,2
20,0.977,-0.047,-0.145,2
20,0.973,0.012,-0.141,2
20,1.000,0.000,-0.121,2
20,1.023,0.023,-0.105,2
20,1.039,0.043,-0.082,2
20,0.996,-0.129,-0.125,2
20,0.973,0.137,-0.117,2
20,0.980,-0.109,-0.133,2
20,1.020,0.023,-0.113,2
20,1.047,-0.059,-0.109,2
20,1.043,0.027,-0.078,2
20,1.027,0.074,-0.121,2
20,1.039,0.098,-0.094,2
20,1.008,-0.008,-0.133,2
20,1.023,0.086,-0.105,2
20,0.969,0.105,-0.137,2
25,1.012,-0.035,-0.117,2
25,0.992,-0.043,-0.102,2
25,1.016,-0.039,-0.125,2
25,1.012,-0.020,-0.117,2
25,1.012,0.066,-0.125,2
25,1.027,-0.027,-0.125,2
25,0.996,0.047,-0.109,2
25,0.988,-0.078,-0.137,2
25,0.973,0.000,-0.133,2
25,1.020,0.086,-0.109,2
25,0.992,-0.012,-0.125,2
25,0.988,-0.023,-0.129,2
25,0.961,0.109,-0.109,2
25,1.008,0.082,-0.117,2
25,1.004,-0.051,-0.109,2
25,0.988,-0.039,-0.117,2
25,1.023,0.090,-0.113,2
25,0.992,0.059,-0.102,2
25,0.992,-0.023,-0.109,2
25,1.016,0.020,-0.105,2
25,1.031,-0.020,-0.133,2
25,1.023,0.047,-0.133,2
25,1.008,0.027,-0.129,2
25,0.980,-0.063,-0.141,2
30,0.977,0.012,-0.125,2
30,0.984,-0.070,-0.137,2
30,0.973,-0.020,-0.125,2
30,1.027,0.070,-0.125,2
30,0.992,0.031,-0.141,2
30,0.988,-0.016,-0.125,2
30,0.980,-0.023,-0.121,2
30,0.957,0.043,-0.133,2
30,0.961,-0.008,-0.117,2
30,1.016,-0.094,-0.113,2
30,0.957,-0.039,-0.141,2
30,0.996,0.055,-0.133,2
30,0.988,0.105,-0.117,2
30,0.945,0.020,-0.121,2
30,1.023,-0.004,-0.109,2
30,0.992,0.055,-0.121,2
30,0.996,0.098,-0.113,2
30,1.000,0.012,-0.133,2
30,1.008,0.055,-0.121,2
30,0.996,-0.023,-0.117,2
30,1.016,0.043,-0.137,2
30,0.996,0.016,-0.133,2
30,0.984,-0.023,-0.105,2
35,1.039,0.070,-0.105,2
35,1.012,0.059,-0.113,2
35,0.973,-0.016,-0.109,2
35,1.043,0.078,-0.129,2
35,0.980,0.035,-0.129,2
35,0.977,0.023,-0.082,2
35,1.055,0.051,-0.094,2
35,1.020,-0.012,-0.113,2
35,1.008,-0.012,-0.133,2
35,1.012,0.012,-0.133,2
35,1.000,0.012,-0.133,2
35,0.965,0.090,-0.133,2
35,0.992,-0.027,-0.137,2
35,1.004,-0.027,-0.117,2
35,1.047,-0.020,-0.113,2
35,1.000,0.016,-0.117,2
35,1.035,0.012,-0.125,2
35,0.996,-0.020,-0.156,2
35,1.000,-0.023,-0.109,2
35,1.020,0.070,-0.105,2
35,0.953,-0.016,-0.121,2
35,1.000,0.023,-0.137,2
35,0.988,0.020,-0.109,2
35,0.977,-0.105,-0.129,2
40,1.008,-0.031,-0.141,2
40,0.973,-0.051,-0.125,2
40,0.965,0.043,-0.172,2
40,0.996,0.000,-0.156,2
40,0.973,0.023,-0.113,2
40,1.031,-0.090,-0.129,2
40,1.031,-0.086,-0.094,2
40,1.043,-0.012,-0.094,2
40,0.977,-0.063,-0.074,2
40,0.961,-0.031,-0.043,2
40,1.016,0.008,-0.090,2
40,1.020,0.090,-0.102,2
40,0.969,0.074,-0.148,2
40,0.977,-0.082,-0.152,2
40,0.957,-0.109,-0.125,2
40,0.965,0.000,-0.094,2
40,1.059,0.117,-0.090,2
40,1.000,0.145,-0.137,2
40,0.984,0.035,-0.152,2
40,0.992,0.090,-0.125,2
40,0.992,-0.016,-0.043,2
40,1.023,-0.008,-0.129,2
40,0.961,-0.047,-0.113,2
45,1.023,0.078,-0.047,2
45,0.977,0.102,-0.055,2
45,1.000,0.086,-0.086,2
45,1.004,0.055,-0.070,2
45,1.047,0.133,-0.066,2
45,0.977,0.066,0.008,2
45,0.969,-0.039,-0.031,2
45,0.949,-0.090,0.035,2
45,0.898,-0.109,0.023,2
45,1.016,-0.105,-0.078,2
45,1.008,0.059,-0.148,2
45,1.012,0.074,-0.305,2
45,1.031,0.047,-0.199,2
45,1.051,-0.035,-0.184,2
45,1.039,0.059,-0.184,2
45,0.973,0.066,-0.184,2
45,1.016,0.074,-0.129,2
45,0.961,0.129,-0.094,2
45,0.992,0.047,-0.074,2
45,0.980,0.109,-0.035,2
45,0.977,0.082,-0.043,2
45,0.934,-0.133,0.012,2
45,1.004,-0.074,-0.094,2
45,1.004,0.227,-0.316,2
50,1.008,-0.051,-0.246,2
50,0.992,-0.129,-0.020,2
50,1.070,-0.102,-0.039,2
50,0.965,-0.105,-0.203,2
50,1.035,-0.055,-0.199,2
50,0.965,0.066,0.012,2
50,1.090,-0.133,-0.012,2
50,1.016,-0.242,-0.203,2
50,0.969,0.113,-0.223,2
50,0.965,0.156,-0.078,2
50,1.020,-0.031,0.059,2
50,0.969,-0.070,-0.082,2
50,0.891,-0.191,-0.223,2
50,1.062,0.020,-0.109,2
50,1.082,-0.141,0.004,2
50,0.996,-0.070,-0.137,2
50,0.867,-0.078,-0.187,2
50,1.055,0.180,-0.242,2
50,0.949,-0.023,-0.016,2
50,1.047,-0.277,0.020,2
50,0.977,-0.070,-0.148,2
50,0.945,-0.180,-0.227,2
50,1.074,0.109,-0.109,2
55,0.934,-0.379,-0.020,2
55,1.086,0.355,0.160,2
55,0.934,-0.246,-0.004,2
55,0.984,-0.016,-0.098,2
55,1.129,0.363,-0.441,2
55,1.008,-0.285,0.055,2
55,1.035,0.211,-0.187,2
55,0.965,-0.141,-0.203,2
55,1.020,-0.016,0.125,2
55,0.887,0.305,-0.094,2
55,0.656,0.535,-0.305,2
55,0.953,-0.141,-0.016,2
55,1.035,0.105,0.059,2
55,1.004,0.305,-0.211,2
55,0.887,0.117,-0.312,2
55,0.941,-0.156,0.051,2
55,0.988,0.109,-0.184,2
55,0.992,-0.176,-0.090,2
55,1.020,0.340,0.098,2
55,0.941,0.051,-0.297,2
55,0.938,-0.094,0.113,2
55,0.938,-0.039,0.012,2
55,0.730,0.215,-0.348,2
60,0.996,-0.043,-0.195,2
60,1.094,0.137,-0.410,2
60,0.828,-0.270,0.121,2
60,1.055,-0.523,-0.059,2
60,1.125,-0.125,-0.113,2
60,0.898,-0.230,-0.344,2
60,1.027,0.242,-0.285,2
60,0.941,0.195,0.168,2
60,0.930,-0.207,0.168,2
60,1.043,-0.156,-0.105,2
60,0.996,0.133,-0.477,2
60,0.855,0.293,-0.148,2
60,1.113,0.070,-0.020,2
60,0.934,-0.109,0.238,2
60,1.066,-0.453,0.063,2
60,0.828,0.465,-0.457,2
60,1.078,0.063,-0.336,2
60,1.008,0.621,0.312,2
60,1.125,-0.129,0.043,2
60,0.965,-0.445,-0.113,2
60,0.879,-0.266,-0.141,2
60,0.957,0.020,-0.395,2
60,0.953,0.379,-0.051,2
60,1.004,0.074,0.059,2
65,0.953,-0.207,-0.387,2
65,0.805,-0.023,-0.410,2
65,0.883,0.164,0.285,2
65,1.074,0.289,-0.059,2
65,1.187,-0.148,0.176,2
65,1.102,0.043,-0.539,2
65,1.000,0.348,-0.160,2
65,1.043,-0.176,0.168,2
65,0.813,0.176,-0.555,2
65,1.023,0.137,-0.148,2
65,1.031,-0.035,0.289,2
65,1.008,-0.102,-0.465,2
65,1.090,0.461,-0.176,2
65,1.152,-0.137,0.234,2
65,0.898,-0.258,-0.277,2
65,0.914,0.215,-0.020,2
65,1.043,-0.309,-0.180,2
65,1.000,0.090,-0.387,2
65,1.094,0.273,0.309,2
65,1.043,-0.426,-0.215,2
65,0.945,0.020,-0.371,2
65,0.848,-0.004,0.352,2
65,1.023,0.465,-0.539,2
70,1.211,0.445,-0.684,2
70,1.426,0.098,-0.457,2
70,1.090,0.625,-0.156,2
70,1.129,-0.098,0.336,2
70,0.605,-0.004,-0.332,2
70,1.211,-1.324,0.328,2
70,1.055,0.277,-0.344,2
70,-0.051,-0.832,-0.020,2
70,0.922,0.359,-0.215,2
70,1.195,-0.027,-0.238,2
70,0.867,0.535,-0.078,2
70,0.750,-0.309,-0.441,2
70,1.016,0.023,-0.105,2
70,0.984,-1.074,0.219,2
70,1.008,0.039,-0.355,2
70,0.125,-0.691,-0.012,2
70,0.953,0.387,-0.180,2
70,0.758,-0.293,0.039,2
70,1.387,0.273,-0.016,2
70,0.668,0.086,-0.395,2
70,0.813,0.230,0.105,2
70,0.516,0.027,-0.438,2
70,1.031,-0.828,0.156,2
70,1.191,0.230,-0.332,2
75,0.723,-0.008,-0.582,2
75,0.617,-0.145,-0.105,2
75,0.305,-0.004,-0.191,2
75,1.219,-0.090,-1.273,2
75,2.203,-0.230,-1.340,2
75,1.238,0.070,-0.332,2
75,0.883,-0.402,-0.281,2
75,0.953,0.117,-0.520,2
75,1.824,0.203,-1.043,2
75,0.703,0.285,-0.422,2
75,1.121,-0.352,-0.508,2
75,1.430,-0.246,-0.129,2
75,1.711,-0.023,-0.875,2
75,0.344,0.000,-0.414,2
75,0.816,0.207,-0.414,2
75,1.516,-0.332,0.199,2
75,1.453,0.133,-0.461,2
75,0.492,-0.719,-0.891,2
75,0.809,-0.227,-0.594,2
75,1.230,-0.129,-0.664,2
75,0.758,-0.680,-0.547,2
75,0.613,-0.090,-0.148,2
75,0.332,-0.371,-0.402,2
80,0.980,0.395,-0.578,2
80,0.887,0.320,0.211,2
80,0.531,0.500,-0.680,2
80,2.828,-0.090,0.988,2
80,1.000,-0.293,0.398,2
80,-6.262,-0.926,0.258,2
80,2.328,-0.902,-0.152,2
80,1.867,-0.145,-1.488,2
80,1.547,0.250,-0.676,2
80,1.992,0.207,0.141,2
80,1.211,0.008,0.102,2
80,2.758,-0.059,-0.070,2
80,0.492,-0.332,-1.473,2
80,1.441,0.898,-0.430,2
80,0.953,0.324,0.215,2
80,2.957,-1.359,-0.324,2
80,1.031,0.160,-0.332,2
80,1.508,0.227,0.234,2
80,0.953,-0.254,0.402,2
80,1.637,-0.199,0.070,2
80,1.832,-0.047,-0.195,2
80,1.996,0.699,-0.641,2
80,0.949,0.121,-0.148,2
80,0.762,-0.559,0.344,2
85,0.703,1.988,0.012,2
85,-0.719,0.270,-0.379,2
85,0.941,1.066,-0.082,2
85,1.059,1.273,-0.187,2
85,1.449,-0.656,-0.141,2
85,-1.262,-1.070,-0.180,2
85,1.137,0.629,0.402,2
85,1.520,-1.062,0.633,2
85,0.922,0.434,-1.059,2
85,1.164,-0.145,0.613,2
85,0.723,0.457,-0.586,2
85,-1.328,-0.395,-0.746,2
85,0.852,0.965,-0.297,2
85,0.992,0.094,-0.746,2
85,1.125,0.563,0.164,2
85,0.387,3.062,0.176,2
85,-2.242,-0.293,-0.824,2
85,-0.117,-0.066,-0.766,2
85,1.715,-0.828,-2.281,2
85,0.629,-0.031,0.805,2
85,0.535,-0.602,0.473,2
85,-5.211,0.332,2.828,2
85,1.270,0.520,0.590,2
90,2.160,0.500,0.441,2
90,0.992,0.254,-1.621,2
90,1.051,0.047,0.535,2
90,-0.383,-0.559,0.793,2
90,1.250,-0.980,-0.398,2
90,1.758,1.062,-0.230,2
90,0.840,-0.285,-0.855,2
90,-0.273,-0.570,0.148,2
90,2.344,0.590,-0.336,2
90,1.465,0.688,0.445,2
90,-0.570,-0.566,1.934,2
90,1.180,0.262,0.449,2
90,1.273,-0.219,-1.238,2
90,0.027,0.184,0.887,2
90,3.012,-0.176,-1.883,2
90,1.211,-0.211,0.328,2
90,0.641,1.039,1.074,2
90,-0.145,-0.930,1.008,2
90,-4.734,-0.742,1.793,2
90,2.004,-0.523,-0.645,2
90,0.707,-0.496,-0.691,2
90,4.680,-3.168,-0.574,2
90,3.957,-0.758,-0.531,2
90,1.004,1.004,-0.348,2
95,5.281,-1.254,-0.340,2
95,1.629,-0.473,-0.641,2
95,1.844,0.699,-1.039,2
95,4.133,0.570,-0.730,2
95,1.270,-0.988,-0.676,2
95,1.910,-3.113,-0.457,2
95,1.359,-0.461,-0.797,2
95,1.758,1.359,-0.961,2
95,2.289,-1.180,-0.508,2
95,1.855,2.086,-0.836,2
95,1.422,1.773,1.262,2
95,2.477,-0.934,-1.484,2
95,-0.477,-0.527,-0.539,2
95,1.609,-0.191,-1.957,2
95,0.754,1.141,-0.234,2
95,0.816,-0.254,-1.035,2
95,1.582,0.371,0.094,2
95,1.773,-0.949,0.047,2
95,0.168,0.637,-0.434,2
95,2.395,-0.969,1.066,2
95,0.801,0.762,-0.359,2
95,0.809,0.859,-0.195,2
95,1.090,-1.328,0.129,2
100,1.102,-1.484,0.469,2
100,1.863,-2.828,0.965,2
100,0.758,0.535,0.059,2
100,2.578,4.621,-0.590,2
100,1.684,2.051,-0.246,2
100,-0.305,0.695,-0.582,2
100,1.117,-3.547,-0.027,2
100,1.289,0.438,-2.008,2
100,2.062,-0.582,0.129,2
100,-1.309,2.410,2.449,2
100,1.797,0.074,0.184,2
100,2.258,-1.289,-1.070,2
100,-1.090,-0.102,-1.602,2
100,4.340,0.219,-2.375,2
100,0.098,0.785,-0.547,2
100,1.371,-0.180,-0.523,2
100,-0.691,-0.230,0.551,2
100,1.219,0.359,-0.262,2
100,0.770,0.098,-1.254,2
100,2.719,0.695,-0.395,2
100,2.711,-1.285,0.469,2
100,0.457,0.809,-0.207,2
100,-0.688,-2.121,0.477,2
20,0.996,-0.023,-0.117,3
20,0.996,0.031,-0.102,3
20,1.035,0.105,-0.105,3
20,1.027,0.109,-0.098,3
20,0.996,-0.078,-0.145,3
20,0.953,-0.152,-0.094,3
20,0.992,-0.020,-0.121,3
20,0.973,-0.043,-0.113,3
20,0.973,-0.051,-0.156,3
20,0.980,-0.066,-0.113,3
