at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,class
0.043885,0.007106,1.348781,-1.249397,-0.185173,-0.557133,-0.044076,2.353166,0.438262,-0.366499,5
-0.363462,0.23479,0.000904,0.759778,0.261718,0.024215,0.55993,0.463115,0.531806,-0.160308,7
-0.017834,-0.22843,0.37077,1.293671,0.17234,0.522513,0.106925,0.870062,2.028517,0.562433,11
0.303106,0.352558,0.082701,0.703981,0.261718,-0.349509,0.220177,0.597314,-0.185368,-0.317025,6
0.352481,-0.448263,0.196506,-0.528002,0.976743,-0.681707,-1.893847,-0.547574,0.687713,0.690483,9
0.229043,-0.354049,0.182281,0.210878,0.261718,0.564038,0.484429,-0.019785,-0.091823,0.352034,1
0.031541,0.2976,-3.210528,-0.58359,-0.721442,0.799346,1.302355,-0.207338,0.334323,0.103856,1
0.117948,0.289748,0.392108,-1.747095,0.261718,1.186911,0.144676,0.573996,-0.590727,1.132629,1
0.080916,0.014957,0.064919,0.346104,0.17234,0.522513,0.408929,0.030715,0.064084,0.364306,1
-0.00549,-0.220579,-3.210528,1.071885,0.261718,0.688613,0.408929,0.032074,-0.466001,0.522,1
0.130292,0.077766,-0.045329,0.285383,-0.095795,1.311485,0.635431,0.256244,0.095265,0.931525,1
-2.523635,-0.346197,-2.349878,-0.775688,0.17234,-0.10036,0.182426,0.617506,-0.091823,-0.074476,6
0.043885,0.195534,0.260522,-0.393821,0.261718,0.522513,0.220177,-0.08141,0.344717,0.491199,7
-0.22768,-0.997846,0.356544,-0.026932,0.261718,1.768258,0.748682,-1.680171,-0.621908,1.245669,4
0.15498,-0.471816,0.50947,1.205082,0.261718,0.231839,0.55993,0.618166,-0.372457,0.018735,1
-0.38815,0.321153,0.107596,0.886232,0.351096,0.771662,0.408929,0.503946,-0.060642,0.59591,6
0.266074,0.556689,-0.020434,0.176624,0.261718,-0.847807,0.446679,1.085185,0.594169,-0.873357,7
0.229043,0.807926,-0.052442,0.082634,0.261718,-0.764757,0.371178,0.497286,-0.091823,-0.76861,6
0.364825,-0.000745,-0.052442,1.293223,0.976743,-0.224934,-0.950086,0.614652,2.153242,0.515912,9
0.142636,0.486028,0.100483,-0.448543,0.17234,0.231839,0.220177,0.028909,0.469443,0.231833,1
0.080916,-0.071406,0.160942,1.225521,0.17234,-0.266459,-3.13961,0.619525,0.500624,-1.792103,1
0.043885,0.030659,0.537921,-2.244735,0.261718,-1.595254,0.257927,-2.031474,-0.933723,-1.448664,5
0.068573,0.226939,0.01513,-0.609818,-1.078955,1.020811,0.333428,-0.809875,-0.216549,0.84656,1
0.031541,-0.118513,0.374326,-0.066706,0.261718,0.439463,0.144676,-0.616323,0.438262,0.43841,1
-0.252367,-0.063555,0.594823,0.891245,0.529852,0.480988,-3.479364,1.002882,2.465057,-0.953186,11
0.266074,0.211237,0.114709,0.937882,0.261718,1.228436,0.371178,0.889069,-0.372457,1.013837,1
-0.06721,0.336855,0.221401,-0.311258,0.261718,-0.557133,0.295677,0.959489,0.313536,-0.539539,7
0.080916,-0.244132,0.214288,-0.37914,0.261718,0.024215,0.55993,-0.818224,-0.964905,-0.151581,6
-0.437525,0.423218,0.388552,0.620852,0.17234,-0.640182,0.257927,1.156245,0.438262,-0.58941,5
0.117948,0.627349,0.075589,0.831628,0.261718,1.477585,0.408929,-0.224326,-0.091823,1.210179,1
0.179667,2.660806,0.096927,-1.474226,-0.006417,-0.598658,0.597681,0.802826,0.687713,-0.724694,7
0.019197,0.525284,0.068476,0.166658,0.261718,-0.349509,0.144676,0.166505,0.18881,-0.272276,6
-0.16596,-0.267686,0.256965,0.051662,0.261718,0.14879,0.446679,0.434555,-0.123005,0.041374,1
0.019197,0.619498,0.032912,-0.18385,0.261718,1.062336,-0.308329,-2.43611,-1.619716,1.24796,7
-0.153617,9.65621,0.05425,0.56598,-1.078955,1.062336,0.257927,0.487248,0.251173,0.930693,6
0.229043,0.124874,0.182281,0.686496,0.261718,0.564038,0.673182,0.354719,-0.123005,0.250048,1
-0.190648,-1.09206,0.402778,0.749425,0.17234,1.519109,0.748682,0.324625,0.18881,1.047109,4
0.624046,0.007106,0.114709,-0.350674,0.887365,-2.135077,-1.101088,-1.14448,0.40708,-1.340518,9
-0.104241,-0.079257,0.011573,0.220903,0.261718,0.107265,-0.195078,0.104512,0.469443,0.337315,1
-0.030178,-0.063555,0.285416,-1.278877,0.17234,-0.681707,0.106925,1.763714,0.344717,-0.559128,6
0.73514,-0.283388,0.089814,-1.848127,0.976743,-1.30458,-0.157328,-2.086827,-0.528364,-1.000672,9
-0.215336,-0.142067,0.096927,-0.184417,0.261718,-1.30458,0.295677,-1.416529,-0.43482,-1.207574,5
0.09326,0.054213,0.374326,0.378926,0.261718,-1.802878,0.446679,-2.856007,-3.085245,-1.716951,8
-0.104241,-0.338346,0.384996,-0.096275,0.261718,-0.224934,0.446679,-0.249217,-0.216549,-0.31506,5
0.068573,-0.087108,0.470349,-0.099617,0.17234,-0.01731,0.861934,0.26036,0.313536,-0.334638,1
0.043885,-0.079257,0.061363,0.565085,0.261718,0.024215,-0.006326,0.388036,-0.247731,0.159056,1
0.080916,0.203385,0.249852,-0.423061,0.261718,-1.470679,0.295677,0.07106,0.375899,-1.357262,8
-0.091897,0.2976,0.079145,0.196496,0.261718,-0.307984,0.182426,0.625331,0.344717,-0.253338,6
-0.042522,-0.463965,0.392108,0.22699,0.261718,1.228436,0.597681,-0.44772,0.500624,0.879145,5
0.377169,0.179832,0.064919,-1.533962,0.261718,1.394535,0.748682,-0.91369,-0.278912,0.929138,1
-0.351118,-0.314793,0.573485,1.670018,-0.185173,-0.141884,-1.478592,0.519866,1.623157,0.941543,11
-0.091897,-0.071406,0.537921,-1.178561,0.261718,-0.141884,0.408929,1.278271,0.812439,-0.250131,5
0.142636,-0.330495,0.299642,0.418282,0.17234,-0.01731,-2.837607,0.346195,0.126447,-1.839311,1
0.266074,0.415367,0.089814,-0.68501,0.261718,-0.01731,0.144676,0.259448,0.812439,0.038915,7
-0.252367,-0.149918,0.313868,-0.243616,0.261718,1.186911,-0.610333,-0.612945,-0.060642,1.616811,1
-0.00549,0.305451,0.018686,-0.04009,0.261718,-0.557133,-0.081827,0.144605,-0.497183,-0.338929,1
0.056229,-0.063555,0.310311,-1.048885,0.261718,0.024215,0.069175,0.647542,0.095265,0.11127,6
-3.498799,0.211237,-3.210528,-0.424226,-4.922215,0.813187,0.106925,0.262709,-0.029461,0.802125,1
-0.017834,-2.426761,0.278304,0.506662,0.17234,0.107265,0.484429,0.354991,0.219991,-0.046918,6
-0.252367,-0.063555,0.594823,0.891245,0.529852,0.397939,-0.799085,0.680626,2.090879,1.040563,11
-0.363462,0.23479,0.000904,0.759778,0.261718,1.519109,0.635431,-0.958209,-0.216549,1.159957,7
-0.030178,-0.063555,0.274747,-0.394925,0.261718,0.439463,0.333428,-0.623332,0.157628,0.329805,6
-3.498799,17.570202,0.05425,0.428308,-4.922215,-1.595254,0.295677,1.305588,-1.619716,-1.47392,3
-0.116585,0.305451,0.036468,-0.41038,0.261718,-1.263055,0.220177,-0.085138,0.781258,-1.138606,8
0.179667,0.258344,0.189393,-0.133304,0.17234,-1.096956,-2.875357,-0.399939,-0.497183,-2.349822,1
0.179667,-0.173471,0.121822,-1.139205,0.17234,-0.515608,0.295677,-0.557786,-0.310094,-0.499817,1
0.142636,0.069915,0.399221,0.568039,-1.168333,-0.183409,0.144676,0.493888,0.594169,-0.117308,1
0.142636,0.43107,0.032912,-0.486796,0.261718,-0.01731,0.597681,-0.326432,0.594169,-0.210277,7
0.562327,-0.29909,0.068476,-0.58926,0.976743,-0.391033,-0.987837,-1.083186,0.812439,0.351625,9
-0.597995,-0.071406,0.352988,0.220844,0.261718,1.643684,0.106925,-0.492162,0.62535,1.568373,5
-0.202992,-0.000745,-3.210528,-0.527256,0.082961,0.024215,0.408929,0.156216,0.219991,-0.07268,4
-0.215336,-0.142067,0.096927,-0.184417,0.261718,-1.180006,0.446679,0.235935,0.843621,-1.163464,5
-0.079554,0.313302,0.139604,0.295528,0.261718,1.685209,0.069175,-0.057431,-0.060642,1.640897,1
-2.523635,-0.346197,-2.349878,-0.775688,0.17234,-0.515608,-3.177361,-1.249441,-0.403638,-1.8098,6
0.15498,-0.275537,0.417003,0.813815,0.261718,0.356414,0.031425,0.039219,0.157628,0.449066,1
-3.498799,0.062064,0.338762,0.963304,-4.922215,-0.930856,-0.157328,1.162963,-1.806804,-0.651519,1
-3.498799,0.054213,-2.083148,-2.448349,-4.922215,-0.183409,0.257927,-2.877345,-2.180982,-0.180332,1
-0.079554,-0.291239,0.388552,0.855618,0.261718,0.439463,0.106925,0.339283,-0.185368,0.466329,6
0.698109,-0.306942,-0.03466,0.062642,0.976743,-1.055431,-1.516343,-0.822379,0.999528,0.01771,9
-0.314087,-2.426761,-0.006209,-0.194681,0.261718,2.515706,0.710932,-0.740563,-0.247731,1.926483,1
0.377169,0.179832,0.064919,-1.533962,0.261718,0.14879,-0.119577,0.50544,-0.091823,0.331034,1
0.031541,0.446772,0.072032,0.600056,0.261718,-0.10036,0.106925,-0.41384,-0.497183,-0.037334,6
0.019197,-0.283388,0.214288,0.857677,0.261718,-0.432558,-0.044076,0.473852,0.562987,-0.247081,1
-0.190648,-0.691649,0.28186,-0.194472,0.17234,-0.01731,0.295677,-0.022329,0.469443,-0.063277,5
-0.128929,-0.134216,0.264078,0.430695,0.261718,0.024215,0.257927,0.44071,0.095265,-0.002965,6
-0.128929,0.211237,0.075589,0.526356,0.261718,2.183507,0.52218,-0.387707,-0.060642,1.767705,1
-3.498799,-0.291239,0.37077,-0.281212,-4.922215,-0.432558,0.031425,0.555474,0.064084,-0.289516,6
-0.079554,0.179832,0.310311,1.179988,-1.257711,-0.806282,0.408929,1.788294,0.500624,-0.818422,5
0.130292,0.533135,-0.045329,-0.942602,0.261718,-0.432558,0.220177,-1.213444,-0.341275,-0.396927,7
0.167323,-0.322644,0.306755,-0.543548,0.261718,-0.557133,-0.232828,0.377163,-0.029461,-0.270384,6
0.290762,0.156278,0.136047,1.401386,0.082961,-0.474083,-0.119577,0.413004,-0.341275,-0.251156,1
-3.498799,0.148427,-3.210528,-0.293087,-4.922215,0.356414,-1.403091,-0.137015,-0.621908,1.415828,9
0.043885,-0.157769,0.328093,0.552225,0.261718,0.605563,-0.34608,-0.151305,-0.185368,0.89947,1
-0.32643,0.093469,-3.210528,0.668414,-0.095795,2.474181,0.333428,0.055799,1.498432,2.218241,11
0.167323,-0.322644,0.306755,-0.543548,0.261718,-0.307984,0.106925,-0.142646,-0.216549,-0.216099,6
0.57467,-0.134216,0.160942,1.252465,0.976743,-1.968978,-0.195078,-3.447595,-3.178789,-1.58068,9
0.229043,-1.044953,0.349432,0.84243,0.261718,1.311485,-0.006326,0.731708,0.18881,1.345703,1
0.167323,0.226939,0.239183,-0.094813,0.17234,-0.391033,0.106925,0.41912,-0.559546,-0.290624,1
-3.498799,-0.401156,0.352988,0.786513,-4.922215,0.522513,0.333428,0.468434,-0.247731,0.401883,1
0.229043,-0.369751,0.484575,0.250174,0.261718,-0.141884,0.106925,0.601159,0.251173,-0.062445,1
0.09326,-0.385453,0.352988,0.546705,0.261718,0.439463,0.371178,0.523186,-0.185368,0.306937,1
0.043885,0.572391,0.00446,-0.3331,0.261718,-0.723232,0.106925,-0.446536,0.18881,-0.589158,7
0.142636,-0.142067,0.246296,0.789259,-1.347089,0.190314,0.371178,-0.557922,-1.151994,0.092729,1
-0.252367,-0.401156,0.466793,0.631147,0.261718,-0.10036,0.257927,-0.450652,0.843621,-0.114908,5
0.105604,-0.377602,0.260522,0.107578,0.261718,-0.557133,0.144676,0.004775,-0.466001,-0.463338,6
-0.042522,-0.173471,0.644613,0.089437,-0.989576,-0.432558,-0.534832,-0.166139,1.155435,0.090233,12
-0.042522,0.2976,0.079145,1.500568,0.351096,2.100457,0.673182,0.047683,-0.559546,1.595823,6
0.303106,-0.03215,0.367214,-0.350585,0.17234,-0.474083,0.257927,0.5307,0.126447,-0.446256,1
0.031541,-2.426761,0.37077,0.77977,0.17234,0.854712,0.635431,0.379978,-0.310094,0.534212,1
-0.104241,-0.079257,0.011573,0.220903,0.261718,1.477585,0.106925,-0.594578,0.251173,1.398637,1
0.056229,-0.063555,0.310311,-1.048885,0.261718,-0.432558,-0.081827,0.038209,-0.590727,-0.226262,6
0.043885,-0.157769,0.328093,0.552225,0.261718,0.937762,0.371178,0.591295,-0.154186,0.748419,1
0.031541,0.195534,0.246296,0.627208,0.261718,0.024215,0.069175,0.465251,0.999528,0.140202,8
0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.183409,0.710932,0.385259,0.344717,-0.423701,1
-0.22768,-0.251983,0.449011,-1.268911,0.261718,0.605563,0.710932,1.703934,0.874802,0.253761,5
0.117948,-0.189174,0.029355,0.763359,0.887365,-1.30458,0.295677,1.811476,0.251173,-1.212661,9
0.080916,0.438921,0.14316,-0.523288,0.261718,0.024215,1.050686,-0.967004,0.126447,-0.411405,7
0.500607,-0.220579,-0.03466,0.497323,0.17234,-0.01731,0.408929,0.238615,-0.123005,-0.115138,1
0.4142,-0.306942,4.329047,-1.391455,-4.743459,-0.681707,0.106925,1.410315,0.656532,-0.557236,1
-0.22768,0.446772,0.534365,0.177429,0.17234,0.024215,0.182426,0.066439,0.687713,0.055274,5
1.142487,0.062064,0.125378,1.05983,0.261718,0.024215,0.295677,1.112424,-0.43482,-0.019722,1
0.105604,0.556689,-0.031104,0.619301,0.17234,-0.474083,0.220177,0.830998,0.251173,-0.425051,1
0.401857,-0.267686,0.299642,-0.808002,0.261718,-1.096956,-0.195078,0.054693,0.313536,-0.788103,6
0.117948,0.627349,0.075589,0.831628,0.261718,0.896237,0.144676,0.23213,0.157628,0.863751,1
-0.22768,-0.110662,0.196506,1.060099,0.261718,-0.224934,0.710932,0.763549,1.155435,-0.451247,11
9.52396,-0.181323,0.068476,-2.809808,-2.777139,-2.6749,-2.913108,1.369756,-3.085245,-3.242576,1
0.068573,0.2976,0.022242,-0.22252,0.261718,-0.01731,0.257927,-0.952094,-0.590727,-0.037467,7
0.846235,-0.09496,0.182281,-1.981085,0.61923,-1.429155,-1.25209,-2.003515,-1.151994,-0.538598,9
-0.351118,-0.314793,0.573485,1.670018,-0.185173,1.26996,-1.28984,1.362146,1.591976,2.292501,11
0.117948,0.321153,-3.210528,0.642753,0.351096,2.100457,0.371178,-0.552349,-0.497183,1.778892,1
0.710453,-0.283388,0.128935,0.601905,0.976743,-0.391033,-1.25209,0.619836,1.124254,0.511536,9
0.278418,0.069915,0.214288,-2.283942,0.082961,-0.764757,0.220177,-1.152305,-0.091823,-0.685695,1
-3.498799,-0.550328,0.050694,-0.629422,-4.922215,-0.515608,0.182426,0.457135,0.469443,-0.445196,1
-0.153617,-0.840822,0.139604,-0.971903,0.17234,0.107265,0.710932,-1.117591,1.217798,-0.15504,11
0.006853,0.407516,0.274747,-0.083803,0.261718,-0.058835,-0.006326,0.121928,0.843621,0.075092,8
0.216699,-2.08916,0.424116,-0.457525,0.082961,-0.307984,0.220177,1.422391,0.594169,-0.278617,1
-0.017834,-0.354049,0.42056,-0.176032,0.261718,-0.432558,0.333428,-0.176564,-0.310094,-0.448486,6
0.15498,-0.471816,0.50947,1.205082,0.261718,0.273364,0.295677,0.854549,-0.185368,0.200429,1
-0.017834,-0.330495,0.488131,-0.183313,0.17234,-0.847807,0.144676,0.580695,0.064084,-0.726224,6
-0.06721,0.336855,0.221401,-0.311258,0.261718,-0.349509,0.673182,-0.112008,-0.185368,-0.520335,7
-0.116585,0.423218,0.086258,1.919136,0.261718,2.432656,0.144676,1.397074,1.529613,2.313742,7
0.056229,-0.291239,0.239183,0.767954,0.17234,0.937762,0.484429,-0.753261,-0.87136,0.71722,1
0.179667,-0.212727,0.132491,-1.306507,0.261718,0.397939,0.786433,1.176282,0.687713,0.048486,1
-0.301743,-0.314793,0.399221,0.77052,0.708609,0.688613,-1.214339,-0.455642,0.313536,1.603707,12
0.031541,0.203385,0.086258,0.045008,0.17234,-0.058835,0.824183,0.555299,0.562987,-0.339701,6
-0.22768,-0.503221,0.406334,-0.671732,0.261718,0.979286,0.031425,0.210171,0.064084,1.017924,5
-0.00549,-0.660245,0.345875,-0.270589,0.261718,-0.141884,-0.006326,-0.038754,-0.341275,-0.002205,1
-0.00549,-0.283388,0.214288,-2.421913,0.17234,-0.930856,0.144676,-0.982848,0.219991,-0.803847,1
-0.314087,-0.157769,0.043581,1.051505,0.17234,0.190314,0.371178,0.479832,0.313536,0.070873,5
-0.215336,0.360409,0.096927,0.286189,0.17234,-0.889332,-0.044076,-0.589899,-0.715453,-0.671289,6
1.37702,-0.063555,0.349432,0.40572,0.17234,-0.183409,0.597681,-1.53871,-0.87136,-0.349743,1
-0.178304,-0.338346,0.45968,1.40246,0.797987,0.024215,-0.761334,0.349088,1.623157,0.611497,12
-0.301743,0.171981,0.285416,0.684706,0.17234,1.519109,0.257927,1.703915,1.124254,1.349307,11
0.043885,-0.157769,0.328093,0.552225,0.261718,1.851308,0.597681,-1.076507,-0.123005,1.414261,1
-0.00549,0.611647,0.022242,1.012179,0.261718,0.813187,0.333428,0.323751,-0.372457,0.664588,1
0.09326,-0.267686,0.168055,-0.383884,0.261718,-0.307984,2.258699,-1.488677,-1.183175,-1.204741,1
-0.449869,-0.291239,0.434785,-0.068824,0.261718,0.480988,0.52218,-0.569047,0.594169,0.268058,5
0.624046,-0.189174,0.139604,0.38731,0.976743,-1.470679,-1.780595,1.100193,1.654339,-0.265622,9
0.019197,0.588093,0.260522,-1.348758,0.082961,0.979286,0.484429,-0.600578,-0.278912,0.74508,1
0.15498,0.336855,0.068476,0.021525,0.261718,0.024215,1.201687,-0.900546,-0.372457,-0.483916,1
-0.178304,0.014957,0.264078,0.582361,0.17234,0.937762,-0.044076,-0.233432,-0.341275,1.015754,1
0.15498,-0.471816,0.50947,1.205082,0.261718,-0.141884,1.201687,0.433332,0.251173,-0.622478,1
0.142636,0.486028,0.100483,-0.448543,0.17234,-0.474083,1.201687,0.188309,0.375899,-0.899601,1
-0.042522,0.140576,0.089814,0.07231,0.261718,1.560634,0.484429,-0.878742,-0.247731,1.238774,1
0.15498,-0.3619,0.40989,-0.171945,0.261718,-0.224934,0.257927,-0.304842,0.157628,-0.216762,6
0.09326,-0.385453,0.352988,0.546705,0.261718,-0.10036,0.295677,0.873673,-0.029461,-0.13398,1
0.080916,0.164129,0.19295,0.819007,0.261718,0.439463,-0.081827,1.070837,-0.154186,0.564229,1
-0.00549,-0.220579,-3.210528,1.071885,0.261718,0.979286,0.748682,1.123064,0.157628,0.571016,1
-0.079554,0.187683,-0.070224,0.211236,0.261718,0.107265,-0.006326,-0.279602,-0.060642,0.223816,1
-0.215336,-0.142067,0.096927,-0.184417,0.261718,-0.681707,0.748682,-0.034327,0.344717,-0.871151,5
0.068573,0.069915,-0.002652,-1.149827,-1.257711,0.937762,0.55993,0.673792,-0.65309,0.638284,6
0.266074,-0.134216,0.214288,-0.229323,0.261718,-0.640182,-0.006326,0.700138,-0.029461,-0.468088,6
0.130292,0.007106,0.239183,0.766194,0.261718,-0.349509,-0.044076,-0.099563,-0.621908,-0.169278,1
-0.06721,-0.149918,0.32098,0.118589,0.261718,0.06574,0.861934,0.076652,-0.123005,-0.281426,1
0.043885,0.407516,-0.120014,0.281743,0.261718,-0.058835,0.257927,-0.032075,-0.466001,-0.077176,1
0.019197,-0.118513,0.345875,-1.086511,0.261718,1.26996,0.446679,-2.051044,-2.118619,0.998901,6
0.512951,-0.306942,0.061363,1.371548,0.976743,-1.636779,-0.950086,0.517944,0.219991,-0.903905,9
-0.091897,0.344707,0.182281,0.722749,0.261718,1.145386,0.786433,-0.803003,0.095265,0.689832,8
0.056229,-0.291239,0.239183,0.767954,0.17234,0.397939,0.446679,0.598149,0.251173,0.238162,1
0.377169,0.164129,0.139604,-0.241825,0.17234,-0.681707,0.295677,-0.043705,0.001721,-0.653581,1
0.056229,-0.016448,0.345875,-0.053786,0.17234,-0.557133,0.295677,0.79741,0.313536,-0.539213,1
-0.141273,-0.244132,0.249852,0.593729,0.261718,-0.474083,-0.006326,1.021425,0.095265,-0.308285,6
-0.16596,-0.267686,0.256965,0.051662,0.261718,0.06574,0.333428,0.087524,-0.154186,-0.007522,1
1.019049,0.211237,-0.155578,-0.311855,0.261718,-0.10036,0.710932,0.3487,-0.154186,-0.345921,1
0.73514,-0.283388,0.089814,-1.848127,0.976743,-1.429155,-0.950086,-0.399181,0.905984,-0.706442,9
-0.32643,0.321153,0.285416,-1.944952,-0.900198,-1.096956,-0.044076,-0.182215,-0.091823,-0.876624,4
0.698109,-0.306942,-0.03466,0.062642,0.976743,0.314889,-1.138838,-0.295794,0.937165,1.19605,9
-0.104241,-0.338346,0.384996,-0.096275,0.261718,-0.432558,0.748682,0.549339,1.03071,-0.651977,5
-0.22768,0.046362,0.214288,0.746888,0.261718,-0.515608,0.295677,1.726184,0.781258,-0.508171,5
0.117948,0.171981,0.217845,1.738109,0.261718,1.602159,0.748682,-0.24778,-0.123005,1.102153,1
0.241386,-0.110662,0.324537,-0.772226,0.261718,-0.723232,0.484429,-0.578134,0.032902,-0.779532,6
-0.128929,0.705861,0.413447,2.004055,0.61923,1.851308,-1.554093,-0.537555,-0.372457,3.101461,12
-0.06721,-0.275537,0.253409,0.371526,-1.078955,0.522513,0.408929,-0.709265,0.313536,0.35447,1
-0.301743,0.171981,0.285416,0.684706,0.17234,1.228436,0.446679,1.754182,2.059698,1.109109,11
-0.202992,0.203385,0.33165,-1.115215,0.082961,1.809783,0.484429,-0.970267,-0.590727,1.455947,4
0.25373,-0.338346,-3.210528,-1.790689,0.351096,-0.349509,0.710932,0.114123,0.313536,-0.562166,1
-0.017834,-0.055704,0.23207,0.604621,-0.989576,0.06574,0.446679,0.849365,0.219991,-0.057128,1
0.624046,-2.426761,0.178724,0.711352,1.066121,0.522513,-1.101088,-1.183836,0.687713,1.347994,9
-0.363462,-0.008597,0.256965,-0.22634,0.261718,0.771662,0.144676,1.011658,0.40708,0.789744,5
0.080916,0.438921,0.14316,-0.523288,0.261718,-0.10036,0.937434,-0.62475,0.219991,-0.460433,7
0.142636,-0.142067,0.246296,0.789259,-1.347089,0.564038,0.295677,0.693906,0.032902,0.460929,1
-3.498799,0.438921,-0.052442,-5.440122,-0.453307,0.06574,0.52218,-0.45438,0.126447,-0.09204,1
-0.178304,-0.620989,0.32098,0.699028,0.261718,0.439463,0.824183,0.460436,0.313536,0.065086,5
-0.054866,-0.024299,0.079145,0.136282,0.261718,0.107265,0.748682,-0.283311,-0.060642,-0.179778,6
-0.301743,-0.055704,0.210732,-0.147477,0.261718,0.190314,0.257927,-0.542079,0.562987,0.153861,5
0.105604,0.203385,-0.023991,0.995678,0.261718,1.020811,-0.006326,0.557513,0.40708,1.063034,1
0.068573,0.069915,-0.002652,-1.149827,-1.257711,1.685209,0.371178,1.398394,0.594169,1.423265,6
0.117948,-0.189174,0.029355,0.763359,0.887365,-0.224934,-0.799085,3.066643,2.465057,0.39037,9
-0.141273,1.553789,0.541477,-0.649324,-1.257711,0.356414,-0.006326,0.844473,-0.247731,0.441725,4
-0.116585,0.305451,0.036468,-0.41038,0.261718,-0.515608,0.106925,0.825076,1.24898,-0.400121,8
-0.22768,0.046362,0.214288,0.746888,0.261718,-0.10036,0.031425,1.541641,0.812439,0.016805,5
0.4142,-0.173471,0.392108,-0.130887,0.261718,-0.723232,-0.270579,-0.321753,-0.341275,-0.398144,6
-0.017834,-0.149918,-2.975805,-1.078156,0.082961,-0.058835,-0.912336,-1.17541,-0.808997,0.629351,6
-0.079554,0.187683,-0.070224,0.211236,0.261718,0.605563,0.52218,-0.218502,-0.559546,0.383511,1
0.488263,-0.259834,0.050694,-0.755517,0.976743,0.231839,-1.101088,-0.098262,0.531806,1.058562,9
0.117948,0.289748,0.392108,-1.747095,0.261718,1.311485,0.786433,0.551086,-0.403638,0.82961,1
0.043885,-0.173471,0.285416,-0.775121,0.17234,-1.30458,-2.573354,-1.589268,-1.962712,-2.44801,6
0.019197,0.619498,0.032912,-0.18385,0.261718,-0.847807,0.52218,0.060614,0.095265,-0.910656,7
-0.042522,-0.463965,0.392108,0.22699,0.261718,-0.474083,0.484429,0.847132,1.217798,-0.550714,5
0.661077,-0.09496,0.01513,0.751961,0.976743,-0.681707,-1.138838,1.080369,1.093072,0.163167,9
0.15498,-0.377602,0.349432,0.70613,-0.006417,-0.557133,-0.081827,0.636669,0.531806,-0.341316,1
-3.498799,-0.16562,0.811764,-1.809159,-4.922215,-2.218127,-6.537148,-2.335966,-2.492797,-4.323753,1
-0.091897,0.226939,0.267634,0.024091,0.261718,-1.180006,0.55993,-0.289718,-0.091823,-1.215253,8
0.624046,-0.189174,0.139604,0.38731,0.976743,-1.595254,-1.403091,0.357437,1.872609,-0.616848,9
-3.498799,0.391814,0.374326,-5.440122,0.261718,0.314889,0.635431,-0.728331,-0.247731,0.050054,1
-0.00549,-0.259834,0.367214,-0.156667,0.261718,-0.640182,0.446679,0.228557,0.251173,-0.682959,6
0.192011,-0.251983,0.33165,0.296423,0.261718,-0.10036,0.144676,-0.076381,0.344717,-0.053331,1
